FC Barcelona: Ter Stegen, Araujo, Pedri, de Jong, Lewandowski
Real Madrid CF: Courtois, Alaba, Modric, Valverde, Vinicius
Argentina: Martinez, Romero, De Paul, Lo Celso, Messi
France: Lloris, Varane, Kante, Griezmann, Mbappe
Spain: Simon, Laporte, Rodri, Gavi, Torres
Manchester City FC: Ederson, Dias, De Bruyne, Foden, Haaland
Manchester United FC: Onana, Varane, Fernandes, Garnacho, Rashford
Inter Milan: Handanovic, De Vrij, Barella, Calhanoglu, Martinez
Inter Miami CF: Callender, Alba, Busquets, Cremaschi, Messi
Paris Saint-Germain FC: Donnarumma, Marquinhos, Ugarte, Vitinha, Mbappe
FC Bayern Munich: Neuer, Upamecano, Kimmich, Goretzka, Kane
Borussia Dortmund: Kobel, Hummels, Sabitzer, Reus, Adeyemi
Juventus FC: Szczesny, Rugani, McKennie, Vlahovic, Chiesa
AC Milan: Maignan, Thiaw, Tomori, Leao, Pulisic
Arsenal FC: Ramsdale, Gabriel, Rice, Saka, Martinelli
Liverpool FC: Alisson, Van Dijk, Mac Allister, Jones, Salah
Chelsea FC: Mendy, Silva, Fernandez, Mount, Sterling
